iz,iK,iS,z,K,S,V,HR,IK,Sprime,constrained
   1,   3,  37,  2.524620E-01,  5.909457E-02,  1.012434E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  8.605691E-01,1
   1,   3,  38,  2.524620E-01,  5.909457E-02,  1.100666E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.355663E-01,1
   1,   3,  39,  2.524620E-01,  5.909457E-02,  1.196587E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.017099E+00,1
   1,   3,  40,  2.524620E-01,  5.909457E-02,  1.300868E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.105738E+00,1
   1,   3,  41,  2.524620E-01,  5.909457E-02,  1.414237E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.202101E+00,1
   1,   3,  42,  2.524620E-01,  5.909457E-02,  1.537485E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.306862E+00,1
   1,   3,  43,  2.524620E-01,  5.909457E-02,  1.671474E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.420753E+00,1
   1,   3,  44,  2.524620E-01,  5.909457E-02,  1.817140E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.544569E+00,1
   1,   3,  45,  2.524620E-01,  5.909457E-02,  1.975501E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.679176E+00,1
   1,   3,  46,  2.524620E-01,  5.909457E-02,  2.147663E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.825513E+00,1
   1,   3,  47,  2.524620E-01,  5.909457E-02,  2.334828E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.984604E+00,1
   1,   3,  48,  2.524620E-01,  5.909457E-02,  2.538304E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.157558E+00,1
   1,   3,  49,  2.524620E-01,  5.909457E-02,  2.759513E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.345586E+00,1
   1,   3,  50,  2.524620E-01,  5.909457E-02,  3.000000E+00,           NaN,  2.326918E-05,  1.086207E-01,  2.550081E+00,0
   1,   4,   1,  2.524620E-01,  6.424457E-02,  5.000000E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.250000E-02,1
   1,   4,   2,  2.524620E-01,  6.424457E-02,  5.435742E-02,  0.000000E+00,  0.000000E+00,  5.172414E-03,  4.620380E-02,1
